,0,1,2,3
149,0.22788657,-0.12273318,-1.0191996,-0.25925127
150,-0.38966972,0.07038292,0.7545666,-0.62795186
151,-0.29711705,-0.16312319,-0.42538598,-0.02566564
152,-0.40828907,-0.3041227,-0.5308089,-0.13325372
153,-0.7173294,0.020985082,1.3479192,-1.108349
154,-0.4940101,0.06258221,0.9887242,-0.8210311
155,-0.5013047,0.062036853,1.0050945,-0.8345295
156,-0.41529799,-0.01688727,0.3254456,-0.24373075
157,-0.5506436,0.058348168,1.1158195,-0.92583
158,0.0011336803,-0.29770976,-1.1315963,-0.30357042
159,-0.025737971,-0.35360503,-1.2230616,-0.3950757
160,0.048736148,0.06727205,-0.29619697,0.1776956
161,0.16234967,-0.20206517,-1.1735477,-0.3766686
162,0.18533295,-0.1685029,-1.2844179,-0.42630842
163,0.1922299,-0.20160395,-1.3161198,-0.48949876
164,0.21544263,-0.19312346,-1.3309054,-0.5112201
165,0.2277351,-0.2056576,-1.3452469,-0.54597783
166,0.13263929,-0.16520715,-1.1415868,-0.29164615
167,0.16222253,-0.15743381,-1.1459618,-0.30937126
168,0.14563248,-0.14964977,-1.0779033,-0.2752166
169,0.14843729,-0.13304615,-1.0734482,-0.25553742
170,0.1298264,-0.15718317,-1.0632007,-0.2670044
171,-0.04201594,-0.42109895,-1.2905276,-0.49597386
172,0.08399424,-0.26790023,-1.0099332,-0.3473607
173,0.19059125,-0.1660083,-1.1143284,-0.32944295
174,-0.29080015,-0.4929058,-0.86714894,-0.4375421
175,-0.2469503,-0.48110795,-0.87612146,-0.44108114
176,0.20454916,-0.161903,-1.1096466,-0.33723143
177,0.035897568,-0.35093755,-1.1380813,-0.4487832
178,0.18969393,-0.30753094,-1.2557893,-0.5721644
179,0.119588375,-0.37208623,-1.2818964,-0.5927465
180,0.19971007,-0.39414012,-1.4532375,-0.79727674
181,0.20486367,-0.18305093,-1.0730195,-0.35853687
182,0.2419934,-0.23394454,-1.2381625,-0.5289123
183,0.20724896,-0.39927685,-1.4567862,-0.8125875
184,0.13306111,-0.38139373,-1.2887425,-0.6205518
185,0.05513969,-0.30991498,-0.97434294,-0.37952003
186,0.074853465,-0.36107093,-1.1338968,-0.4995971
187,-0.28691214,-0.048662074,0.28769618,-0.45761654
188,-0.2617765,0.049479865,0.41075552,-0.3960522
189,-0.31290168,0.07612227,0.58228606,-0.48589465
190,-0.23769566,0.05281301,0.24856013,-0.20041648
191,0.30056927,0.21381208,-0.7263399,0.09849262
192,-0.3789673,0.07088595,0.7288546,-0.60664487
